date,p1,p2,p3,p4,number
2018-11-14,4,0,7,9,4079
2018-11-28,2,5,0,9,2509
2018-12-12,1,4,9,6,1496
2019-01-02,1,7,3,2,1732
2019-01-03,4,7,1,4,4714
2019-01-04,3,6,0,1,3601
2019-01-05,7,3,5,5,7355
2019-01-07,6,5,3,4,6534
2019-01-08,2,8,4,0,2840
2019-01-09,4,2,3,3,4233
2019-01-10,3,7,2,8,3728
2019-01-11,0,7,2,2,0722
2019-01-12,1,3,6,9,1369
2019-01-14,0,1,1,4,0114
2019-01-15,4,1,6,4,4164
2019-01-16,3,6,3,8,3638
2019-01-17,4,7,8,4,4784
2019-01-18,0,5,1,6,0516
2019-01-19,9,5,2,7,9527
2019-01-21,7,7,7,1,7771
2019-01-22,8,3,7,5,8375
2019-01-23,9,3,7,5,9375
2019-01-24,9,8,9,8,9898
2019-01-26,7,3,1,5,7315
2019-01-28,6,3,7,7,6377
2019-01-29,7,1,6,2,7162
2019-01-30,7,9,6,4,7964
2019-01-31,1,0,6,1,1061
2019-02-02,0,5,1,7,0517
2019-02-04,2,3,2,6,2326
2019-02-05,4,6,8,2,4682
2019-02-07,6,1,0,8,6108
2019-02-08,0,1,2,3,0123
2019-02-08,0,7,5,5,0755
2019-02-09,9,5,1,7,9517
2019-02-11,3,1,1,8,3118
2019-02-12,4,9,5,1,4951
2019-02-13,3,6,9,4,3694
2019-02-14,5,1,0,2,5102
2019-02-15,6,5,6,6,6566
2019-02-16,7,6,1,6,7616
2019-02-18,9,9,4,9,9949
2019-02-19,6,7,1,2,6712
2019-02-20,9,0,9,0,9090
2019-02-21,9,0,3,6,9036
2019-02-22,7,6,7,8,7678
2019-02-23,0,6,2,9,0629
2019-02-25,5,2,7,2,5272
2019-02-26,0,6,6,2,0662
2019-02-27,7,9,7,6,7976
2019-02-28,0,5,0,7,0507
2019-03-01,8,8,4,1,8841
2019-03-02,4,1,1,7,4117
2019-03-04,4,8,3,3,4833
2019-03-05,7,7,4,4,7744
2019-03-06,4,2,5,7,4257
2019-03-07,5,6,8,4,5684
2019-03-08,8,4,6,7,8467
2019-03-09,7,3,8,6,7386
2019-03-11,5,0,6,2,5062
2019-03-12,3,8,7,0,3870
2019-03-13,6,1,2,7,6127
2019-03-14,4,4,2,4,4424
2019-03-15,6,0,0,5,6005
2019-03-16,2,5,8,2,2582
2019-03-18,5,8,8,9,5889
2019-03-19,7,3,0,7,7307
2019-03-20,2,2,8,1,2281
2019-03-21,3,7,1,5,3715
2019-03-22,6,4,7,7,6477
2019-03-23,8,5,6,4,8564
2019-03-25,0,5,4,7,0547
2019-03-26,7,2,0,0,7200
2019-03-27,6,8,0,6,6806
2019-03-28,4,9,2,3,4923
2019-03-29,1,7,6,0,1760
2019-03-30,3,9,3,5,3935
2019-04-01,3,3,0,2,3302
2019-04-02,1,6,7,3,1673
2019-04-08,5,7,7,4,5774
2019-04-09,3,1,8,2,3182
2019-04-10,2,9,0,0,2900
2019-04-11,6,3,3,4,6334
2019-04-12,9,9,0,5,9905
2019-04-13,5,8,3,9,5839
2019-04-15,7,7,0,1,7701
2019-04-16,3,2,8,7,3287
2019-04-17,2,0,1,8,2018
2019-04-18,6,4,5,2,6452
2019-04-20,3,3,2,6,3326
2019-04-22,5,2,6,5,5265
2019-04-23,5,2,5,0,5250
2019-04-24,2,7,6,0,2760
2019-04-25,5,7,3,9,5739
2019-04-26,2,1,5,8,2158
2019-04-27,9,2,1,1,9211
2019-04-29,8,3,2,9,8329
2019-04-30,6,2,9,6,6296
2019-05-01,2,8,2,6,2826
2019-05-02,6,3,2,1,6321
2019-05-03,4,0,9,1,4091
2019-05-04,5,9,8,4,5984
2019-05-06,1,1,9,6,1196
2019-05-07,2,8,0,7,2807
2019-05-08,8,1,1,7,8117
2019-05-09,1,7,2,4,1724
2019-05-10,8,6,4,9,8649
2019-05-11,6,6,9,8,6698
2019-05-13,8,8,4,9,8849
2019-05-14,2,2,5,5,2255
2019-05-15,0,3,5,8,0358
2019-05-16,9,7,3,3,9733
2019-05-17,3,7,7,0,3770
2019-05-18,8,5,5,1,8551
2019-05-20,9,0,2,3,9023
2019-05-21,0,0,0,3,0003
2019-05-22,1,9,6,7,1967
2019-05-23,9,1,6,9,9169
2019-05-24,1,2,0,4,1204
2019-05-25,2,3,2,0,2320
2019-05-27,5,0,5,7,5057
2019-05-28,9,2,7,8,9278
