date,p1,p2,p3,number
2018-11-14,5,2,4,524
2018-11-28,4,6,2,462
2018-12-12,1,1,7,117
2019-01-02,3,2,5,325
2019-01-03,3,8,5,385
2019-01-04,9,7,3,973
2019-01-05,0,7,6,076
2019-01-07,4,7,3,473
2019-01-08,0,1,5,015
2019-01-09,6,0,8,608
2019-01-10,8,1,0,810
2019-01-11,1,0,3,103
2019-01-12,4,8,4,484
2019-01-14,4,7,5,475
2019-01-15,5,9,3,593
2019-01-16,9,4,4,944
2019-01-19,4,2,6,426
2019-01-21,5,5,0,550
2019-01-22,3,8,4,384
2019-01-23,3,9,1,391
2019-01-24,6,8,7,687
2019-02-08,3,0,5,305
2019-02-14,8,1,8,818
2019-02-15,6,1,6,616
2019-02-16,4,6,1,461
2019-02-18,3,6,0,360
2019-02-19,9,2,0,920
2019-02-20,5,6,0,560
2019-02-21,7,4,3,743
2019-02-22,6,3,9,639
2019-02-23,0,1,2,012
2019-02-25,5,9,9,599
2019-02-26,4,6,4,464
2019-02-27,3,5,3,353
2019-02-28,1,8,5,185
2019-03-01,1,8,9,189
2019-03-02,1,6,7,167
2019-03-04,3,4,7,347
2019-03-05,2,5,9,259
2019-03-06,4,8,8,488
2019-03-07,6,2,4,624
2019-03-08,9,8,0,980
2019-03-09,0,5,2,052
2019-03-11,3,6,2,362
2019-03-12,3,2,1,321
2019-03-13,9,3,3,933
2019-03-14,9,2,6,926
2019-03-15,6,3,7,637
2019-03-16,7,5,2,752
2019-03-18,0,6,7,067
2019-03-19,8,7,6,876
2019-03-20,0,1,1,011
2019-03-21,6,6,5,665
2019-03-22,3,8,0,380
2019-03-23,9,6,8,968
2019-03-25,2,1,0,210
2019-03-26,5,7,2,572
2019-03-27,0,6,4,064
2019-03-28,2,7,1,271
2019-03-29,8,8,9,889
2019-03-30,9,1,3,913
2019-04-01,1,4,7,147
2019-04-02,4,6,6,466
2019-04-08,9,0,0,900
2019-04-09,8,8,7,887
2019-04-10,1,6,4,164
2019-04-11,8,0,9,809
2019-04-12,4,8,1,481
2019-04-13,2,5,5,255
2019-04-15,1,6,3,163
2019-04-16,6,8,2,682
2019-04-17,8,0,0,800
2019-04-18,8,2,4,824
2019-04-20,3,8,3,383
2019-04-22,2,4,9,249
2019-04-23,3,8,4,384
2019-04-24,7,0,0,700
2019-04-25,1,4,0,140
2019-04-26,3,5,5,355
2019-04-27,9,2,6,926
2019-04-29,7,3,7,737
2019-04-30,0,9,3,093
2019-05-01,1,7,9,179
2019-05-02,9,9,1,991
2019-05-03,2,3,6,236
2019-05-04,7,6,4,764
2019-05-06,9,0,1,901
2019-05-07,0,3,9,039
2019-05-08,6,9,6,696
2019-05-09,0,3,1,031
2019-05-10,4,1,7,417
2019-05-11,1,2,6,126
2019-05-13,9,4,6,946
2019-05-14,5,8,9,589
2019-05-15,6,6,4,664
2019-05-16,0,9,9,099
2019-05-17,6,9,3,693
2019-05-18,4,3,1,431
2019-05-20,5,8,4,584
2019-05-21,4,6,3,463
2019-05-22,6,2,5,625
2019-05-23,1,5,2,152
2019-05-24,1,0,6,106
2019-05-25,8,0,0,800
2019-05-27,1,6,6,166
2019-05-28,1,7,2,172
2019-05-29,5,7,4,574
2019-05-30,9,5,0,950
2019-05-31,5,8,2,582
2019-06-01,6,4,8,648
2019-06-03,1,7,4,174
2019-06-04,1,5,5,155
2019-06-05,5,6,1,561
2019-06-06,7,3,6,736
2019-06-07,6,9,3,693
2019-06-08,3,2,1,321
2019-06-10,6,4,1,641
2019-06-11,9,0,3,903
2019-06-12,7,1,5,715
2019-06-13,5,6,5,565
2019-06-14,5,0,6,506
2019-06-15,7,4,3,743
2019-06-17,5,3,0,530
2019-06-18,1,3,0,130
2019-06-19,9,7,9,979
2019-06-20,4,6,5,465
2019-06-21,3,5,7,357
2019-06-22,2,5,5,255
2019-06-24,2,3,8,238
2019-06-25,8,5,8,858
2019-06-26,5,8,0,580
2019-06-27,7,7,5,775
2019-06-28,6,3,0,630
2019-07-01,1,6,4,164
2019-07-02,3,8,4,384
2019-07-03,7,4,3,743
2019-07-05,3,9,4,394
2019-07-06,8,1,7,817
2019-07-08,5,9,1,591
2019-07-09,3,7,4,374
2019-07-10,8,3,4,834
2019-07-11,9,6,7,967
2019-07-12,8,0,7,807
2019-07-13,8,0,8,808
2019-07-15,1,3,0,130
2019-07-16,8,1,6,816
2019-07-17,5,9,4,594
2019-07-18,8,3,6,836
2019-07-23,3,3,7,337
2019-07-24,5,0,6,506
2019-07-25,4,0,3,403
2019-07-26,8,7,1,871
2019-07-27,5,6,4,564
2019-07-30,4,1,1,411
2019-07-31,7,5,4,754
2019-08-01,6,9,0,690
2019-08-03,8,6,1,861
2019-08-05,7,5,1,751
2019-08-06,9,3,0,930
2019-08-07,4,1,5,415
2019-08-08,8,1,9,819
2019-08-09,2,9,8,298
2019-08-10,0,3,8,038
2019-08-12,4,5,7,457
2019-08-13,9,2,1,921
2019-08-14,6,0,9,609
2019-08-16,0,5,6,056
2019-08-17,8,3,3,833
2019-08-19,0,8,6,086
2019-08-20,8,3,4,834
2019-08-21,0,0,3,003
2019-08-22,0,2,1,021
2019-08-23,9,3,4,934
2019-08-24,7,8,2,782
2019-08-26,4,3,5,435
2019-08-27,3,1,0,310
2019-08-28,4,0,6,406
2019-08-29,9,5,2,952
2019-08-30,4,0,4,404
2019-08-31,5,0,6,506
2019-09-02,4,0,7,407
2019-09-03,3,9,9,399
2019-09-04,5,7,0,570
2019-09-05,6,7,6,676
2019-09-06,9,7,2,972
2019-09-07,8,7,3,873
2019-09-09,6,4,9,649
2019-09-10,5,4,5,545
2019-09-11,1,2,2,122
2019-09-12,0,9,1,091
2019-09-13,9,0,6,906
2019-09-14,3,4,0,340
2019-09-16,4,7,6,476
2019-09-17,2,7,1,271
2019-09-18,3,3,4,334
2019-09-19,3,5,8,358
2019-09-20,1,8,7,187
2019-09-21,6,2,9,629
2019-09-23,6,3,8,638
2019-09-24,5,4,6,546
2019-09-25,7,6,6,766
2019-09-26,5,3,7,537
2019-09-27,2,9,6,296
2019-09-28,6,0,1,601
2019-09-30,4,0,7,407
2019-10-01,2,7,7,277
2019-10-02,6,6,1,661
2019-10-03,4,8,9,489
2019-10-04,0,4,9,049
2019-10-05,1,1,5,115
2019-10-07,5,0,9,509
2019-10-08,4,6,6,466
2019-10-09,6,7,6,676
2019-10-10,4,2,7,427
2019-10-11,5,6,2,562
2019-10-12,5,0,2,502
2019-10-14,6,4,1,641
2019-10-15,2,5,6,256
2019-10-16,7,2,8,728
2019-10-17,2,2,3,223
2019-10-18,4,6,3,463
2019-10-19,5,6,2,562
2019-10-21,4,9,0,490
2019-10-22,6,5,8,658
2019-10-23,8,6,9,869
2019-10-24,6,4,4,644
2019-10-25,6,8,2,682
2019-10-26,5,7,8,578
2019-10-28,8,8,6,886
2019-10-29,3,4,6,346
2019-10-30,0,4,2,042
2019-10-31,6,6,4,664
2019-11-01,5,8,3,583
2019-11-02,7,9,2,792
2019-11-04,3,1,5,315
2019-11-05,3,2,4,324
2019-11-06,7,0,9,709
2019-11-07,4,3,3,433
2019-11-08,3,8,5,385
2019-11-09,7,4,2,742
2019-11-11,1,2,3,123
2019-11-12,1,4,8,148
2019-11-13,6,3,8,638
2019-11-15,6,8,8,688
2019-11-16,6,7,5,675
2019-11-18,0,0,4,004
2019-11-19,9,5,3,953
2019-11-20,8,2,2,822
2019-11-21,2,4,2,242
2019-11-22,6,4,3,643
2019-11-23,7,1,0,710
2019-11-25,6,4,5,645
2019-11-26,9,3,1,931
2019-11-27,4,0,6,406
2019-11-29,7,1,1,711
2019-11-30,8,4,0,840
2019-12-02,9,1,1,911
2019-12-03,7,7,4,774
2019-12-04,9,3,4,934
2019-12-05,4,5,1,451
2019-12-06,3,0,2,302
2019-12-07,3,6,1,361
2019-12-09,3,0,9,309
2019-12-10,6,9,9,699
2019-12-11,7,0,5,705
2019-12-12,0,7,2,072
2019-12-13,6,0,1,601
2019-12-14,1,3,9,139
2019-12-17,0,6,3,063
2019-12-18,4,0,9,409
2019-12-19,9,4,7,947
2019-12-20,6,3,8,638
2019-12-21,1,1,9,119
2019-12-23,4,1,9,419
2019-12-24,4,3,9,439
2019-12-27,8,9,2,892
2019-12-28,0,2,3,023
2019-12-30,0,4,1,041
2019-12-31,6,5,7,657
2020-01-02,8,7,8,878
2020-01-03,2,2,3,223
2020-01-04,4,4,9,449
2020-01-07,2,9,3,293
2020-01-09,4,2,9,429
2020-01-10,8,9,9,899
2020-01-11,3,2,6,326
2020-01-13,0,6,4,064
2020-01-14,1,7,7,177
2020-01-15,6,7,8,678
