Date,P1,P2,P3,P4,P5,Red
2018-11-28,15,18,19,26,34,2
2018-12-12,1,5,22,25,33,3
2019-01-09,6,11,14,19,23,5
2019-01-11,2,5,7,11,26,3
2019-01-18,2,24,28,30,34,8
2019-01-23,8,9,19,33,35,2
2019-01-30,16,20,22,28,31,10
2019-02-06,6,14,22,33,35,1
2019-02-10,1,2,3,4,5,6
2019-02-15,1,9,21,29,31,5
2019-03-01,5,15,18,23,31,7
2019-03-06,1,9,19,28,32,10
2019-03-13,9,20,27,28,34,9
2019-03-15,4,14,17,31,33,2
2019-03-27,7,19,25,27,35,3
2019-04-10,8,20,23,27,34,7
2019-04-12,19,25,29,32,33,8
2019-05-03,12,16,26,28,29,8
2019-05-08,6,15,16,20,24,9
2019-05-15,2,4,11,27,31,3
2019-05-17,2,3,18,20,24,5
2019-05-22,1,9,11,15,27,4
2019-05-24,9,17,25,33,35,7
2019-05-29,3,6,10,19,28,3
2019-06-05,11,14,25,31,33,5
2019-06-26,4,5,7,25,26,3
2019-08-16,1,3,22,24,25,1
2019-08-21,1,16,18,25,29,9
2019-08-23,6,15,17,20,28,8
2019-09-11,5,8,11,16,29,7
2019-09-13,15,17,24,31,33,3
2019-10-02,7,28,21,15,34,5
2019-10-18,6,17,31,33,35,10
2019-11-01,3,6,14,27,30,6
2019-11-06,2,8,20,23,35,10
2019-11-27,1,3,13,26,29,3
2019-12-13,6,13,14,20,24,3
2019-12-20,17,18,19,23,29,9
2019-12-27,9,17,18,32,33,7
2020-01-08,1,3,12,21,34,8
2020-01-29,4,7,26,34,35,10
2020-02-05,2,5,6,26,35,7
2020-02-19,9,10,19,27,33,10
2020-02-26,18,26,31,33,34,2
2020-02-28,17,20,27,29,33,5
2020-03-04,9,11,13,14,33,5
2020-03-06,4,19,22,26,27,2
2020-03-11,4,18,20,32,34,2
2020-03-18,1,5,14,27,35,1
2020-03-25,16,19,23,25,26,4
2020-03-27,10,15,21,30,33,9
2020-04-24,4,19,22,33,34,10
2020-05-20,10,16,17,24,26,3
2020-06-03,2,17,18,23,30,7
2020-06-12,2,4,16,32,33,4
2020-06-17,4,14,18,29,34,3
2020-07-01,15,27,28,31,34,8
2020-07-22,2,9,13,19,25,1
2020-07-31,5,7,15,24,27,7
2020-08-12,2,11,31,32,34,5
2020-08-14,14,23,24,25,29,1
2020-08-21,2,3,15,25,35,5
2020-08-28,2,5,27,32,35,10
2020-09-09,15,28,29,32,34,9
2020-09-11,1,7,9,11,33,6
2020-09-25,9,10,14,23,30,5
2020-09-30,3,9,10,17,34,5
2020-10-07,4,6,11,13,30,2
2020-10-21,8,15,19,26,28,10
2020-10-23,2,7,11,24,25,3
2020-10-28,7,12,27,31,34,9
2020-11-04,9,21,23,24,25,10
2020-11-11,2,8,9,11,31,10
2020-11-25,14,21,28,29,35,1
2020-11-27,4,5,9,11,31,4
2020-12-04,9,18,23,26,35,10
2021-01-02,1,10,13,28,30,8
2021-01-13,3,19,23,32,33,6
2021-01-15,5,8,13,24,25,1
2021-01-22,1,2,5,22,33,2
2021-01-29,1,5,9,21,33,9
2021-02-03,2,11,12,16,20,1
2021-02-24,2,3,11,28,32,2
2021-03-05,1,3,14,28,35,1
2021-03-10,1,16,28,30,31,8
2021-03-17,7,13,21,28,30,4
2021-03-31,5,14,27,30,31,3
2021-04-14,10,13,20,23,27,2
2021-04-16,3,9,29,31,33,4
2021-04-21,1,19,20,25,34,2
2021-04-23,4,7,23,30,33,8
2021-04-30,2,5,8,21,25,2
2021-05-12,7,12,22,26,35,5
2021-05-14,2,10,11,14,16,2
2021-05-17,14,15,17,24,29,1
2021-05-19,4,8,9,29,35,4
2021-05-21,6,7,20,22,23,8
2021-05-24,15,20,22,29,31,8
2021-05-26,13,16,20,22,32,2
2021-05-28,3,4,5,18,35,9
2021-05-31,9,18,25,28,30,9
2021-06-02,2,3,12,22,32,4
2021-06-04,5,8,12,22,28,3
2021-06-07,5,6,10,11,33,6
2021-06-09,7,23,25,29,31,2
