date,p1,p2,number
2018-11-14,9,3,93
2018-11-28,6,2,62
2018-12-12,9,4,94
2019-01-02,8,3,83
2019-01-03,0,5,05
2019-01-04,4,7,47
2019-01-05,2,1,21
2019-01-07,7,1,71
2019-01-08,6,2,62
2019-01-09,9,8,98
2019-01-10,1,4,14
2019-01-11,9,8,98
2019-01-12,2,4,24
2019-01-14,9,9,99
2019-01-15,2,7,27
2019-01-16,9,6,96
2019-01-17,0,9,09
2019-01-18,6,7,67
2019-01-19,4,5,45
2019-01-21,6,2,62
2019-01-22,1,9,19
2019-01-23,6,1,61
2019-01-24,0,5,05
2019-01-25,9,2,92
2019-01-26,7,5,75
2019-01-28,9,9,99
2019-01-29,9,7,97
2019-01-30,8,8,88
2019-01-31,7,4,74
2019-02-02,5,4,54
2019-02-04,0,2,02
2019-02-05,8,6,86
2019-02-07,2,9,29
2019-02-08,1,0,10
2019-02-08,1,6,16
2019-02-09,7,9,79
2019-02-11,9,2,92
2019-02-12,7,1,71
2019-02-13,7,8,78
2019-02-14,8,1,81
2019-02-15,3,3,33
2019-02-16,3,7,37
2019-02-18,2,8,28
2019-02-19,8,9,89
2019-02-20,8,6,86
2019-02-21,0,8,08
2019-02-22,0,0,00
2019-02-23,1,6,16
2019-02-28,0,9,09
2019-03-01,2,7,27
2019-03-02,6,8,68
2019-03-04,3,4,34
2019-03-05,9,3,93
2019-03-06,1,5,15
2019-03-07,0,6,06
2019-03-08,7,4,74
2019-03-09,1,3,13
2019-03-11,2,2,22
2019-03-12,6,9,69
2019-03-13,3,3,33
2019-03-14,4,0,40
2019-03-15,3,9,39
2019-03-16,3,4,34
2019-03-18,0,6,06
2019-03-19,1,7,17
2019-03-20,6,1,61
2019-03-21,3,9,39
2019-03-22,8,2,82
2019-03-25,6,0,60
2019-03-26,3,4,34
2019-03-27,0,5,05
2019-03-28,6,2,62
2019-03-29,1,6,16
2019-03-30,4,7,47
2019-04-01,2,9,29
2019-04-02,2,1,21
2019-04-08,2,0,20
2019-04-09,8,8,88
2019-04-10,7,2,72
2019-04-11,5,2,52
2019-04-12,6,8,68
2019-04-15,0,5,05
2019-04-16,9,4,94
2019-04-17,2,3,23
2019-04-18,3,7,37
2019-04-20,5,1,51
2019-04-22,9,7,97
2019-04-23,1,0,10
2019-04-24,7,7,77
2019-04-25,1,8,18
2019-04-26,7,9,79
2019-04-27,9,5,95
2019-04-30,8,6,86
2019-05-09,8,3,83
2019-05-10,3,2,32
2019-05-11,9,1,91
2019-05-13,3,4,34
2019-05-14,0,6,06
2019-05-15,6,7,67
2019-05-16,7,4,74
2019-05-17,4,1,41
2019-05-18,1,4,14
2019-05-20,7,6,76
2019-05-21,4,7,47
2019-05-22,4,5,45
2019-05-24,5,1,51
2019-05-25,9,3,93
2019-05-27,4,6,46
2019-05-28,9,0,90
2019-05-29,8,9,89
2019-05-30,1,2,12
2019-05-31,6,7,67
2019-06-01,1,9,19
2019-06-03,7,5,75
2019-06-04,0,2,02
2019-06-05,3,7,37
2019-06-06,2,3,23
2019-06-07,5,6,56
2019-06-13,6,9,69
2019-06-17,6,4,64
2019-06-18,2,7,27
2019-06-19,8,1,81
2019-06-20,4,5,45
2019-06-21,3,1,31
2019-06-22,4,1,41
2019-06-24,4,1,41
2019-06-25,5,0,50
2019-06-26,9,4,94
2019-06-27,6,8,68
2019-06-28,6,1,61
2019-07-01,2,8,28
2019-07-02,8,3,83
2019-07-03,6,1,61
2019-07-05,6,6,66
2019-07-06,6,0,60
2019-07-10,4,6,46
2019-07-13,4,3,43
2019-07-15,4,7,47
2019-07-16,5,8,58
2019-07-17,2,1,21
2019-07-18,8,5,85
2019-07-23,2,3,23
2019-07-24,1,5,15
2019-07-25,1,1,11
2019-07-26,6,2,62
2019-07-30,9,4,94
2019-07-31,5,7,57
2019-08-01,9,6,96
2019-08-03,2,7,27
2019-08-05,5,6,56
2019-08-06,2,4,24
2019-08-07,2,5,25
2019-08-08,0,2,02
2019-08-09,2,1,21
2019-08-10,4,9,49
2019-08-12,9,5,95
2019-08-13,0,4,04
2019-08-14,9,6,96
2019-08-16,1,4,14
2019-08-17,3,3,33
2019-08-19,3,6,36
2019-08-20,2,3,23
2019-08-21,0,6,06
2019-08-22,2,3,23
2019-08-23,8,7,87
2019-08-24,7,2,72
2019-08-26,1,6,16
2019-08-27,3,6,36
2019-08-28,1,3,13
2019-08-29,0,7,07
2019-08-30,2,9,29
2019-08-31,8,4,84
2019-09-02,4,3,43
2019-09-03,4,6,46
2019-09-04,8,7,87
2019-09-05,3,1,31
2019-09-06,7,0,70
2019-09-07,5,7,57
2019-09-09,4,3,43
2019-09-10,1,7,17
2019-09-11,6,4,64
2019-09-12,7,8,78
2019-09-14,7,5,75
2019-09-16,2,2,22
2019-09-17,4,4,44
2019-09-18,6,0,60
2019-09-19,6,5,65
2019-09-23,2,7,27
2019-09-24,4,4,44
2019-09-25,8,0,80
2019-09-26,0,5,05
2019-09-27,3,4,34
2019-09-28,0,1,01
2019-09-30,4,8,48
2019-10-01,3,8,38
2019-10-02,8,8,88
2019-10-03,3,5,35
2019-10-04,6,9,69
2019-10-14,9,4,94
2019-10-15,3,5,35
2019-10-16,9,4,94
2019-10-17,9,8,98
2019-10-18,4,3,43
2019-10-19,2,6,26
2019-10-21,0,5,05
2019-10-22,4,5,45
2019-10-23,3,4,34
2019-10-24,7,2,72
2019-10-25,2,1,21
2019-10-30,2,1,21
2019-10-31,1,7,17
2019-11-01,4,3,43
